title,title_ko,source_name,source_url,image_url,published_at,summary,summary_ko,category,franchise
Jon Favreau Provides Behind-the-Scenes Details in The Mandalorian and Grogu Commentary,"존 파브로, 『만달로리안과 그로구』 코멘터리에서 제작 비하인드 공개",Star Wars News Net,https://www.starwarsnewsnet.com/2026/06/jon-favreau-provides-behind-the-scenes-details-in-the-mandalorian-and-grogu-commentary.html,https://www.starwarsnewsnet.com/wp-content/uploads/2026/04/Screenshot-2026-04-17-at-4.26.32-PM.png,2026-06-09,Jon Favreau shares production commentary and behind-the-scenes details about the making of The Mandalorian and Grogu.,존 파브로가 『만달로리안과 그로구』 제작 과정과 관련된 코멘터리 및 비하인드 정보를 공개했다.,영화,Star Wars
Star Wars: Zero Company Creators Discuss Customization Characters and Clone Wars Setting,"『스타워즈: 제로 컴퍼니』 제작진, 커스터마이징과 클론 전쟁 배경 설명",Star Wars News Net,https://www.starwarsnewsnet.com/2026/06/star-wars-zero-company-creators-provide-details-on-customization-characters-and-how-the-game-fits-into-the-clone-wars.html,https://www.starwarsnewsnet.com/wp-content/uploads/2026/06/assets_2026_06_1780660834_SWZC_PreOrder_UHD_Lead-Clone-War-Operatives_Clean-scaled.jpg,2026-06-09,"The creators of Star Wars: Zero Company explain gameplay systems including customization, characters, and how the game connects to the Clone Wars era.","『스타워즈: 제로 컴퍼니』 제작진이 캐릭터 커스터마이징, 등장인물, 게임이 클론 전쟁 시대와 연결되는 방식을 설명했다.",게임,Star Wars
The Mandalorian and Grogu Falls Out of the Box Office Top 5 in Week 3,"『만달로리안과 그로구』, 개봉 3주 차 박스오피스 톱5 밖으로 밀려나",Star Wars News Net,https://www.starwarsnewsnet.com/2026/06/the-mandalorian-and-grogu-falls-out-of-top-5-at-the-box-office-in-week-3.html,https://www.starwarsnewsnet.com/wp-content/uploads/2026/04/THND-FF-000469-scaled.jpg,2026-06-07,"The Mandalorian and Grogu continues its box office decline, falling outside the top five during its third weekend.",『만달로리안과 그로구』가 개봉 3주 차 주말에 박스오피스 순위 5위권 밖으로 밀려나며 흥행 하락세를 이어갔다.,영화,Star Wars
PowerWash Simulator 2 Star Wars DLC Gets New Trailer and Release Date,"『파워워시 시뮬레이터 2』 스타워즈 DLC, 새 예고편과 출시일 공개",Star Wars News Net,https://www.starwarsnewsnet.com/2026/06/powerwash-simulator-2-star-wars-themed-dlc-gets-new-trailer-and-release-date.html,https://www.starwarsnewsnet.com/wp-content/uploads/2026/06/PowerWash-Simulator-2-Star-Wars-6-1024x576.png,2026-06-07,PowerWash Simulator 2 reveals a new trailer and release date for its Star Wars-themed DLC expansion featuring multiple new levels.,"『파워워시 시뮬레이터 2』의 스타워즈 테마 DLC가 새 예고편과 출시일을 공개했으며, 여러 신규 스테이지가 포함될 예정이다.",게임,Star Wars
Star Wars: Zero Company Featured at Summer Game Fest and Gets August Release Date,"『스타워즈: 제로 컴퍼니』, 서머 게임 페스트에서 8월 출시일 공개",Star Wars News Net,https://www.starwarsnewsnet.com/2026/06/star-wars-zero-company-featured-at-summer-game-fest-and-gets-august-release-date.html,https://www.starwarsnewsnet.com/wp-content/uploads/2026/05/Star-Wars-Zero-Company.png,2026-06-06,"Star Wars: Zero Company appears at Summer Game Fest, confirms an August 27 2026 release date, and opens preorders.","『스타워즈: 제로 컴퍼니』가 서머 게임 페스트에서 소개되었고, 2026년 8월 27일 출시일과 예약 구매 정보를 공개했다.",게임,Star Wars
Star Wars: Galactic Racer Story Trailer Featured at Summer Game Fest,"『스타워즈: 갤럭틱 레이서』 스토리 예고편, 서머 게임 페스트에서 공개",Star Wars News Net,https://www.starwarsnewsnet.com/2026/06/star-wars-galactic-racer-trailer-featured-at-summer-game-fest.html,https://www.starwarsnewsnet.com/wp-content/uploads/2026/06/Star-Wars-Galactic-Racer-Story-Mode-1024x430.png,2026-06-06,Star Wars: Galactic Racer receives a story trailer at Summer Game Fest and is presented as a new game set after the fall of the Empire.,"『스타워즈: 갤럭틱 레이서』의 스토리 예고편이 서머 게임 페스트에서 공개되었으며, 제국 몰락 이후를 배경으로 한 신작 게임으로 소개됐다.",게임,Star Wars
Timothy Zahn's Thrawn Gets Hardcover Deluxe Edition Re-Release This October,"티모시 잰의 『쓰론』, 10월 하드커버 디럭스판으로 재출간",Star Wars News Net,https://www.starwarsnewsnet.com/2026/06/timothy-zahns-thrawn-gets-a-hardcover-deluxe-edition-re-release-this-october.html,https://www.starwarsnewsnet.com/wp-content/uploads/2026/06/Screenshot-2026-06-04-8.47.07-AM-e1780580916527.png,2026-06-06,Timothy Zahn's 2017 Thrawn novel is being re-released as a hardcover deluxe edition scheduled for October 2026.,티모시 잰의 2017년 소설 『쓰론』이 2026년 10월 하드커버 디럭스 에디션으로 다시 출간될 예정이다.,도서,Star Wars
Shadows of the Empire at 30: Lucy Autrey Wilson Reflects on Lucasfilm's Multimedia Project,"30주년 맞은 『제국의 그림자』, 루시 오트리 윌슨이 돌아본 루카스필름의 멀티미디어 프로젝트",Star Wars News Net,https://www.starwarsnewsnet.com/2026/06/shadows-of-the-empire-at-30-lucy-autrey-wilson-reflects-on-spearheading-lucasfilms-ambitious-multimedia-project.html,https://www.starwarsnewsnet.com/wp-content/uploads/2025/05/Screenshot-2025-05-31-at-1.09.29 PM.png,2026-06-05,Former Lucasfilm publishing executive Lucy Autrey Wilson reflects on the development and legacy of the Shadows of the Empire multimedia project.,전 루카스필름 출판 담당자 루시 오트리 윌슨이 『제국의 그림자』 멀티미디어 프로젝트의 기획 과정과 유산을 회고했다.,도서,Star Wars
Andor Showrunner Tony Gilroy Hopes Star Wars Stays Ambitious in Future Stories,"『안도르』 쇼러너 토니 길로이, 스타워즈가 앞으로도 야심찬 이야기를 이어가길 희망",Star Wars News Net,https://www.starwarsnewsnet.com/2026/06/andor-showrunner-tony-gilroy-hopes-star-wars-stays-ambitious-in-future-stories.html,https://www.starwarsnewsnet.com/wp-content/uploads/2025/04/AN1C1079-1-scaled.jpg,2026-06-05,Andor showrunner Tony Gilroy expresses hope that future Star Wars stories remain ambitious and creatively bold.,『안도르』의 쇼러너 토니 길로이가 향후 스타워즈 작품들이 계속해서 도전적이고 야심찬 이야기를 시도하길 바란다고 밝혔다.,드라마,Star Wars
The Ninth Jedi Anime Series Coming Out This Summer First Episode to Screen at Anime Expo,"『나인스 제다이』 애니메이션 시리즈, 올여름 공개 및 애니메 엑스포 선공개 예정",Star Wars News Net,https://www.starwarsnewsnet.com/2026/06/the-ninth-jedi-anime-series-coming-out-this-summer-first-episode-to-be-screened-at-anime-expo.html,https://www.starwarsnewsnet.com/wp-content/uploads/2021/09/kara-the-ninth-jedi-main-2926922122_TALL.jpeg,2026-06-03,"The Ninth Jedi spin-off anime series from Star Wars: Visions is planned for release this summer, with its first episode set to screen at Anime Expo.","『스타워즈: 비전스』의 단편 『나인스 제다이』에서 파생된 애니메이션 시리즈가 올여름 공개될 예정이며, 첫 화는 애니메 엑스포에서 먼저 상영된다.",애니메이션,Star Wars
