title,type,release_date,status,description,source_url,image_url
Star Wars: A New Hope (Episode IV),Movie,1977-05-25,Released,"The original Star Wars film that introduced Luke Skywalker, Princess Leia, Han Solo, Darth Vader, and the Rebel Alliance's fight against the Galactic Empire.",https://www.starwars.com/films/star-wars-episode-iv-a-new-hope,/static/images/a-new-hope.png
Star Wars: The Empire Strikes Back (Episode V),Movie,1980-05-21,Released,"The second film of the original trilogy, following the Rebel Alliance after the destruction of the Death Star and Luke Skywalker's training with Yoda.",https://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back,/static/images/the-empire-strikes-back.png
Star Wars: Return of the Jedi (Episode VI),Movie,1983-05-25,Released,"The final film of the original trilogy, depicting the Rebel Alliance's final battle against the Empire and the redemption of Darth Vader.",https://www.starwars.com/films/star-wars-episode-vi-return-of-the-jedi,/static/images/return-of-the-jedi.png
Star Wars: The Phantom Menace (Episode I),Movie,1999-05-19,Released,"The first film of the prequel trilogy, introducing Anakin Skywalker, Qui-Gon Jinn, Obi-Wan Kenobi, and the political crisis surrounding Naboo.",https://www.starwars.com/films/star-wars-episode-i-the-phantom-menace,/static/images/the-phantom-menace.png
Star Wars: Attack of the Clones (Episode II),Movie,2002-05-16,Released,"The second prequel film, showing the beginning of the Clone Wars and the growing relationship between Anakin Skywalker and Padmé Amidala.",https://www.starwars.com/films/star-wars-episode-ii-attack-of-the-clones,/static/images/attack-of-the-clones.png
Star Wars: Revenge of the Sith (Episode III),Movie,2005-05-19,Released,"The final prequel film, depicting Anakin Skywalker's fall to the dark side and the rise of the Galactic Empire.",https://www.starwars.com/films/star-wars-episode-iii-revenge-of-the-sith,/static/images/revenge-of-the-sith.png
Star Wars: The Clone Wars,Movie,2008-08-15,Released,An animated theatrical film that launched the Clone Wars animated storyline and introduced Ahsoka Tano as Anakin Skywalker's Padawan.,https://www.starwars.com/films/star-wars-the-clone-wars,/static/images/the-clone-wars-movie.png
Star Wars: The Clone Wars,Animation,2008-10-03,Released,"An animated series exploring the battles, politics, and characters of the Clone Wars era between Attack of the Clones and Revenge of the Sith.",https://www.starwars.com/series/star-wars-the-clone-wars,/static/images/the-clone-wars-movie.png
Star Wars Rebels,Animation,2014-10-03,Released,An animated series following a small rebel cell as it fights the Empire in the years before A New Hope.,https://www.starwars.com/series/star-wars-rebels,/static/images/rebels.png
Star Wars: The Force Awakens (Episode VII),Movie,2015-12-18,Released,"The first film of the sequel trilogy, introducing Rey, Finn, Poe Dameron, Kylo Ren, and the conflict between the Resistance and the First Order.",https://www.starwars.com/films/star-wars-episode-vii-the-force-awakens,/static/images/the-force-awakens.png
